[2025-08-05T15:12:21+08:00][sql] CONNECT:[ UseTime:0.006300s ] mysql:host=124.220.1.39;port=3306;dbname=app_84000looking;charset=utf8mb4
[2025-08-05T15:12:21+08:00][sql] SHOW FULL COLUMNS FROM `sys_schedule` [ RunTime:0.004557s ]
[2025-08-05T15:12:21+08:00][sql] SELECT `id`,`addon`,`key`,`status`,`time`,`count`,`last_time`,`next_time`,`create_time`,`delete_time`,`update_time` FROM `sys_schedule` WHERE  `status` = 1 ORDER BY `id` DESC [ RunTime:0.004120s ]
[2025-08-05T16:07:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004208s ]
[2025-08-05T16:07:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004251s ]
[2025-08-05T16:08:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004297s ]
[2025-08-05T16:08:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004239s ]
[2025-08-05T16:09:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004175s ]
[2025-08-05T16:09:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004182s ]
[2025-08-05T16:10:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T16:10:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004142s ]
[2025-08-05T16:11:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T16:11:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004217s ]
[2025-08-05T16:12:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004207s ]
[2025-08-05T16:12:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004216s ]
[2025-08-05T16:13:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004200s ]
[2025-08-05T16:13:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004196s ]
[2025-08-05T16:14:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T16:14:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004156s ]
[2025-08-05T16:15:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004328s ]
[2025-08-05T16:15:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004174s ]
[2025-08-05T16:16:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004198s ]
[2025-08-05T16:16:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004112s ]
[2025-08-05T16:17:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004235s ]
[2025-08-05T16:17:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004226s ]
[2025-08-05T16:18:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004212s ]
[2025-08-05T16:18:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T16:19:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004145s ]
[2025-08-05T16:19:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004178s ]
[2025-08-05T16:20:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004227s ]
[2025-08-05T16:20:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004212s ]
[2025-08-05T16:21:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004178s ]
[2025-08-05T16:21:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004219s ]
[2025-08-05T16:22:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004170s ]
[2025-08-05T16:22:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004153s ]
[2025-08-05T16:23:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004167s ]
[2025-08-05T16:23:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004177s ]
[2025-08-05T16:24:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004199s ]
[2025-08-05T16:24:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004176s ]
[2025-08-05T16:25:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004189s ]
[2025-08-05T16:25:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004201s ]
[2025-08-05T16:26:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004192s ]
[2025-08-05T16:26:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004131s ]
[2025-08-05T16:27:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004211s ]
[2025-08-05T16:27:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004165s ]
[2025-08-05T16:28:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004173s ]
[2025-08-05T16:28:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004220s ]
[2025-08-05T16:29:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004161s ]
[2025-08-05T16:29:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004186s ]
[2025-08-05T16:30:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004191s ]
[2025-08-05T16:30:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004199s ]
[2025-08-05T16:31:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004164s ]
[2025-08-05T16:31:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004400s ]
[2025-08-05T16:32:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004188s ]
[2025-08-05T16:32:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004176s ]
[2025-08-05T16:33:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004224s ]
[2025-08-05T16:33:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004185s ]
[2025-08-05T16:34:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004184s ]
[2025-08-05T16:34:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004189s ]
[2025-08-05T16:35:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004147s ]
[2025-08-05T16:35:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004198s ]
[2025-08-05T16:36:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004180s ]
[2025-08-05T16:36:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004189s ]
[2025-08-05T16:37:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004234s ]
[2025-08-05T16:37:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004267s ]
[2025-08-05T16:38:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004244s ]
[2025-08-05T16:38:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004228s ]
[2025-08-05T16:39:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004295s ]
[2025-08-05T16:39:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004236s ]
[2025-08-05T16:40:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004201s ]
[2025-08-05T16:40:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004229s ]
[2025-08-05T16:41:15+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004271s ]
[2025-08-05T16:41:45+08:00][sql] SELECT * FROM `sys_schedule` [ RunTime:0.004221s ]
